State,Value
  O OXXX ,0.0
  O OXXXO,0.0
  O X    ,0.0
  O X   X,0.0
  O X  OX,1.0
  O X  X ,0.0
  O X  XO,1.0
  O X O X,1.0
  O X OX ,1.0
  O X OXX,1.0
  O X X  ,0.0
  O X X O,0.0
  O X XO ,1.0
  O X XOX,0.0
  O X XXO,-1.0
  O XO  X,1.0
  O XO X ,1.0
  O XO XX,1.0
  O XOOXX,1.0
  O XOX  ,1.0
  O XOX X,1.0
  O XOXOX,1.0
  O XOXX ,-1.0
  O XOXXO,-1.0
  O XX   ,0.0
  O XX  O,1.0
  O XX O ,1.0
  O XX OX,0.0
  O XX XO,1.0
  O XXO  ,1.0
  O XXO X,1.0
  O XXOOX,1.0
  O XXOX ,1.0
  O XXOXO,1.0
  O XXX O,0.0
  O XXXO ,0.0
  O XXXOO,1.0
  OO   XX,1.0
  OO  X X,1.0
  OO  XX ,1.0
  OO  XXX,1.0
  OO X  X,0.0
  OO X X ,0.0
  OO X XX,-1.0
  OO XOXX,-1.0
  OO XX  ,0.0
  OO XX X,0.0
  OO XXOX,0.0
  OO XXX ,0.0
  OO XXXO,0.0
  OOOX XX,1.0
  OOOXX X,1.0
  OOOXXX ,1.0
  OOOXXXX,1.0
  OOX   X,1.0
  OOX  X ,1.0
  OOX  XX,0.0
  OOX OXX,1.0
  OOX X  ,1.0
  OOX X X,1.0
  OOX XOX,1.0
  OOX XX ,0.0
  OOX XXO,1.0
  OOXO XX,1.0
  OOXOX X,1.0
  OOXOXX ,1.0
  OOXOXXX,1.0
  OOXX   ,0.0
  OOXX  X,-1.0
  OOXX OX,1.0
  OOXX X ,0.0
  OOXX XO,1.0
  OOXXO X,1.0
  OOXXOX ,1.0
  OOXXOXX,-1.0
  OOXXX  ,0.0
  OOXXX O,0.0
  OOXXXO ,0.0
  OOXXXOX,0.0
  OOXXXXO,0.0
  OX     ,1.0
  OX    X,0.0
  OX   OX,0.0
  OX   X ,-1.0
  OX   XO,-1.0
  OX  O X,1.0
  OX  OX ,1.0
  OX  OXX,-1.0
  OX  X  ,-1.0
  OX  X O,1.0
  OX  XO ,1.0
  OX  XOX,0.0
  OX  XXO,-1.0
  OX O  X,1.0
  OX O X ,1.0
  OX O XX,1.0
  OX OOXX,1.0
  OX OX  ,1.0
  OX OX X,0.0
  OX OXOX,1.0
  OX OXX ,-1.0
  OX OXXO,-1.0
  OX X   ,-1.0
  OX X  O,1.0
  OX X O ,1.0
  OX X OX,-1.0
  OX X XO,-1.0
  OX XO  ,1.0
  OX XO X,-1.0
  OX XOOX,1.0
  OX XOX ,-1.0
  OX XOXO,0.0
  OX XX O,1.0
  OX XXO ,1.0
  OX XXOO,1.0
  OXO   X,1.0
  OXO  X ,1.0
  OXO  XX,-1.0
  OXO OXX,-1.0
  OXO X  ,1.0
  OXO X X,1.0
  OXO XOX,1.0
  OXO XX ,1.0
  OXO XXO,1.0
  OXOO XX,1.0
  OXOOX X,1.0
  OXOOXX ,1.0
  OXOOXXX,1.0
  OXOX   ,-1.0
  OXOX  X,-1.0
  OXOX OX,-1.0
  OXOX X ,-1.0
  OXOX XO,-1.0
  OXOXO X,-1.0
  OXOXOX ,-1.0
  OXOXX  ,-1.0
  OXOXX O,1.0
  OXOXXO ,1.0
  OXOXXOX,-1.0
  OXOXXXO,-1.0
  OXX    ,0.0
  OXX   O,1.0
  OXX  O ,1.0
  OXX  XO,-1.0
  OXX O  ,1.0
  OXX O X,1.0
  OXX OOX,1.0
  OXX OX ,1.0
  OXX OXO,1.0
  OXX X O,-1.0
  OXX XO ,0.0
  OXX XOO,1.0
  OXXO   ,0.0
  OXXO  X,0.0
  OXXO OX,1.0
  OXXO X ,-1.0
  OXXO XO,-1.0
  OXXOO X,1.0
  OXXOOX ,1.0
  OXXOOXX,1.0
  OXXOX  ,-1.0
  OXXOX O,-1.0
  OXXOXO ,1.0
  OXXOXOX,0.0
  OXXX  O,1.0
  OXXX O ,1.0
  OXXXO  ,1.0
  OXXXOOX,1.0
  OXXXOXO,1.0
  OXXXXOO,1.0
  X      ,0.0
  X     O,1.0
  X    O ,1.0
  X    OX,1.0
  X    XO,0.0
  X   O  ,1.0
  X   O X,1.0
  X   OOX,1.0
  X   OX ,0.0
  X   OXO,1.0
  X   X O,1.0
  X   XO ,0.0
  X   XOO,1.0
  X  O   ,1.0
  X  O  X,0.0
  X  O OX,1.0
  X  O X ,0.0
  X  O XO,1.0
  X  OO X,1.0
  X  OOX ,1.0
  X  OOXX,-1.0
  X  OX  ,0.0
  X  OX O,1.0
  X  OXO ,1.0
  X  OXOX,0.0
  X  OXXO,0.0
  X  X  O,-1.0
  X  X O ,0.0
  X  X OO,0.0
  X  XO  ,-1.0
  X  XO O,-1.0
  X  XOO ,1.0
  X  XOOX,1.0
  X  XOXO,-1.0
  X  XXOO,-1.0
  X O    ,0.0
  X O   X,0.0
  X O  OX,1.0
  X O  X ,0.0
  X O  XO,0.0
  X O O X,1.0
  X O OX ,0.0
  X O OXX,0.0
  X O X  ,0.0
  X O X O,1.0
  X O XO ,0.0
  X O XOX,-1.0
  X O XXO,-1.0
  X OO  X,0.0
  X OO X ,0.0
  X OO XX,-1.0
  X OOOXX,0.0
  X OOX  ,0.0
  X OOX X,-1.0
  X OOXOX,-1.0
  X OOXX ,-1.0
  X OOXXO,-1.0
  X OX   ,0.0
  X OX  O,0.0
  X OX O ,1.0
  X OX OX,1.0
  X OX XO,-1.0
  X OXO  ,1.0
  X OXO X,1.0
  X OXOX ,0.0
  X OXOXO,0.0
  X OXX O,-1.0
  X OXXO ,-1.0
  X OXXOO,-1.0
  X X   O,0.0
  X X  O ,1.0
  X X  OO,1.0
  X X O  ,0.0
  X X O O,0.0
  X X OO ,1.0
  X X OOX,1.0
  X X OXO,0.0
  X X XOO,1.0
  X XO   ,1.0
  X XO  O,1.0
  X XO O ,1.0
  X XO OX,1.0
  X XO XO,0.0
  X XOO  ,1.0
  X XOO X,0.0
  X XOOOX,1.0
  X XOOX ,0.0
  X XOOXO,1.0
  X XOX O,1.0
  X XOXO ,1.0
  X XX OO,-1.0
  X XXO O,-1.0
  X XXOO ,-1.0
  X XXOOO,-1.0
  XO     ,1.0
  XO    X,1.0
  XO   OX,1.0
  XO   X ,0.0
  XO   XO,1.0
  XO  O X,1.0
  XO  OX ,1.0
  XO  OXX,-1.0
  XO  X  ,0.0
  XO  X O,1.0
  XO  XO ,1.0
  XO  XOX,0.0
  XO  XXO,-1.0
  XO O  X,1.0
  XO O X ,1.0
  XO O XX,-1.0
  XO OOXX,-1.0
  XO OX  ,1.0
  XO OX X,-1.0
  XO OXOX,0.0
  XO OXX ,-1.0
  XO OXXO,1.0
  XO X   ,0.0
  XO X  O,0.0
  XO X O ,1.0
  XO X OX,1.0
  XO X XO,-1.0
  XO XO  ,1.0
  XO XO X,1.0
  XO XOX ,-1.0
  XO XOXO,0.0
  XO XX O,0.0
  XO XXO ,1.0
  XO XXOO,1.0
  XOO   X,1.0
  XOO  X ,0.0
  XOO  XX,-1.0
  XOO OXX,1.0
  XOO X  ,0.0
  XOO X X,-1.0
  XOO XX ,-1.0
  XOO XXO,-1.0
  XOOO XX,-1.0
  XOOOX X,-1.0
  XOOOXX ,-1.0
  XOOX   ,1.0
  XOOX  X,1.0
  XOOX X ,0.0
  XOOX XO,0.0
  XOOXOX ,1.0
  XOOXOXX,1.0
  XOOXX  ,0.0
  XOOXX O,0.0
  XOOXXO ,1.0
  XOOXXOX,1.0
  XOOXXXO,-1.0
  XOX    ,1.0
